Feed of hostnames found in certificate transparency logs that are related to the COVID-19 pandemic.

Disclaimer:
Not every hostname in this list is malicious. This is just a feed of hostnames that appear
to be related to COVID-19. While this feed is useful for hunting for COVID-19 scams / malware,
there are likely legitimate sites in this data.

Changelog:
- Sat Mar 14 14:35:56 CDT 2020 -- initial release. started scanning last night
  so collection has been running about 18 hours at this point. Also updated
  collection logic to account for potential false positives.

- Sat Mar 14 15:13:45 CDT 2020 -- Added timestamp to feed.
  Timestamps with "2020-03-14 15:11:20.684411" were before I added timestamp support

- Sun Mar 15 16:53:14 CDT 2020 -- changed feed data to be CSV format

Feed:
date,time,hostname
2020-03-14,15:11:20.684411,coronavirusnearme.net
2020-03-14,15:11:20.684411,coronavirusnews.fr
2020-03-14,15:11:20.684411,coronavirus.now.im
2020-03-14,15:11:20.684411,coronavirus.nubu.es
2020-03-14,15:11:20.684411,coronavirus.ojcmiranda.org
2020-03-14,15:11:20.684411,coronavirusoutbreak.markets
2020-03-14,15:11:20.684411,coronavirusoutbreaktees.com
2020-03-14,15:11:20.684411,coronavirusoutfitters.com
2020-03-14,15:11:20.684411,coronaviruspeople.com
2020-03-14,15:11:20.684411,coronavirus-portal.com
2020-03-14,15:11:20.684411,coronavirus-prevencion.com
2020-03-14,15:11:20.684411,corona-virusprevention.com
2020-03-14,15:11:20.684411,coronavirusprevention.meunegociodigital.net
2020-03-14,15:11:20.684411,coronavirusprotection101.com
2020-03-14,15:11:20.684411,coronavirusrealvsfake.com
2020-03-14,15:11:20.684411,coronavirus.reisen
2020-03-14,15:11:20.684411,coronavirusrelief.loan
2020-03-14,15:11:20.684411,coronavirus-resources.esri.com
2020-03-14,15:11:20.684411,coronavirusresults.org
2020-03-14,15:11:20.684411,coronavirus.richielending.com
2020-03-14,15:11:20.684411,coronavirusrj.com.br
2020-03-14,15:11:20.684411,coronavirus-romania.info
2020-03-14,15:11:20.684411,coronavirusshirts.de
2020-03-14,15:11:20.684411,coronavirus-sklep.pl
2020-03-14,15:11:20.684411,coronavirus.so
2020-03-14,15:11:20.684411,coronavirus-status.online
2020-03-14,15:11:20.684411,coronavirusstockpile.com
2020-03-14,15:11:20.684411,coronavirussuisse.ch
2020-03-14,15:11:20.684411,coronavirustalk.net
2020-03-14,15:11:20.684411,coronavirustestingmap.com
2020-03-14,15:11:20.684411,coronavirus-testkit.nl
2020-03-14,15:11:20.684411,coronavirustestlocations.com
2020-03-14,15:11:20.684411,*.coronavirus-tips.com
2020-03-14,15:11:20.684411,coronavirustop.net
2020-03-14,15:11:20.684411,coronavirustracker.es
2020-03-14,15:11:20.684411,coronavirusuisse.ch
2020-03-14,15:11:20.684411,coronavirusupdatenews.com
2020-03-14,15:11:20.684411,coronavirus-updates.info
2020-03-14,15:11:20.684411,coronavirus.uwhealth.org
2020-03-14,15:11:20.684411,coronavirusvaccinelawyer.com
2020-03-14,15:11:20.684411,coronavirusweb.online
2020-03-14,15:11:20.684411,coronavirusworld.mixh.jp
2020-03-14,15:11:20.684411,covid192020worldtour.com
2020-03-14,15:11:20.684411,covid19.504gameshn.com
2020-03-14,15:11:20.684411,covid19.ageel.org
2020-03-14,15:11:20.684411,covid19.akdownloader.com
2020-03-14,15:11:20.684411,covid19alerts.info
2020-03-14,15:11:20.684411,covid19.alliancebrh.com
2020-03-14,15:11:20.684411,covid19.andel.es
2020-03-14,15:11:20.684411,covid19.andreas-dette.de
2020-03-14,15:11:20.684411,covid19antivirus.net
2020-03-14,15:11:20.684411,covid19api.andreas-dette.de
2020-03-14,15:11:20.684411,covid19-api.weedmark.systems
2020-03-14,15:11:20.684411,*.covid19-au.com
2020-03-14,15:11:20.684411,covid19-au.com
2020-03-14,15:11:20.684411,covid19.bandung.go.id
2020-03-14,15:11:20.684411,covid19.baoviet.com.vn
